epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,17468.4,1.38596,1.05841,1.05592,0.4727,0.38761,0.3816,0.21944,1.34266,1.02813,1.0303,0.002377,0.002377,0.002377
79,17705.6,1.37887,1.05253,1.05149,0.47629,0.38785,0.38138,0.22029,1.34302,1.02909,1.03003,0.002278,0.002278,0.002278
80,17943.6,1.37579,1.05542,1.05705,0.46918,0.38636,0.38067,0.21954,1.34092,1.02794,1.0295,0.002179,0.002179,0.002179
81,18181.6,1.37091,1.04806,1.04867,0.46795,0.38994,0.38192,0.22047,1.33967,1.02627,1.02884,0.00208,0.00208,0.00208
82,18419.5,1.36947,1.04377,1.0482,0.46754,0.39145,0.38253,0.21963,1.34074,1.02572,1.02904,0.001981,0.001981,0.001981
83,18656.9,1.36967,1.04222,1.0486,0.47084,0.39507,0.38429,0.21989,1.3393,1.02471,1.02812,0.001882,0.001882,0.001882
84,18895.5,1.37018,1.0441,1.04849,0.47223,0.39097,0.38375,0.22001,1.33975,1.02441,1.02792,0.001783,0.001783,0.001783
85,19135.2,1.36783,1.03855,1.04914,0.47274,0.38785,0.38271,0.21983,1.33916,1.02352,1.02775,0.001684,0.001684,0.001684
86,19380.6,1.36575,1.03881,1.04845,0.46362,0.39154,0.38362,0.22025,1.33979,1.02424,1.02819,0.001585,0.001585,0.001585
87,19623.6,1.35945,1.02991,1.04336,0.4671,0.39242,0.38455,0.22108,1.33912,1.02177,1.0277,0.001486,0.001486,0.001486
88,19861.7,1.36064,1.02944,1.0433,0.47093,0.39463,0.38547,0.22126,1.33858,1.02125,1.02716,0.001387,0.001387,0.001387
89,20098.5,1.37129,1.0384,1.04648,0.47131,0.39216,0.38583,0.22171,1.3381,1.02121,1.02663,0.001288,0.001288,0.001288
90,20334.8,1.36596,1.02907,1.04727,0.47108,0.39227,0.38503,0.22156,1.33735,1.01955,1.0269,0.001189,0.001189,0.001189
91,20587.6,1.34454,1.00702,1.04287,0.47088,0.39427,0.38714,0.22188,1.33774,1.01937,1.0268,0.00109,0.00109,0.00109
92,20817.4,1.33775,0.99862,1.04069,0.48078,0.39033,0.38768,0.2225,1.33873,1.01886,1.0268,0.000991,0.000991,0.000991
93,21048.6,1.33825,0.9986,1.03924,0.47751,0.38954,0.38694,0.22189,1.33909,1.0186,1.02681,0.000892,0.000892,0.000892
94,21279,1.34065,0.99653,1.03958,0.475,0.39451,0.38721,0.22203,1.33911,1.01815,1.02673,0.000793,0.000793,0.000793
95,21511.1,1.33366,0.99464,1.03875,0.47751,0.39202,0.38686,0.22171,1.33887,1.01778,1.02624,0.000694,0.000694,0.000694
96,21742.9,1.3314,0.99287,1.03589,0.47655,0.39254,0.38606,0.22161,1.33858,1.01793,1.0261,0.000595,0.000595,0.000595
97,21974.7,1.33437,0.99078,1.03933,0.47136,0.39539,0.38678,0.22175,1.33922,1.01813,1.02629,0.000496,0.000496,0.000496
98,22203.7,1.32919,0.98654,1.0354,0.47092,0.39621,0.38711,0.22239,1.33935,1.0173,1.02639,0.000397,0.000397,0.000397
99,22435.8,1.32937,0.98597,1.03762,0.47293,0.39523,0.38732,0.22247,1.33917,1.01748,1.0263,0.000298,0.000298,0.000298
100,22669.3,1.33011,0.98447,1.03409,0.47307,0.39399,0.38698,0.22206,1.33979,1.0178,1.02624,0.000199,0.000199,0.000199
